legacyId	codigoBarras	nome	descricao	fabricante	precoVenda	estoque
60003		BUBBALOO HORTELA MENTA	1UNID 5G	POLYBALAS DISTIRIBUIDORA	0.50	56
57942		#DES.ABOVE AER.MEN T.BOY150ML	#DES.ABOVE AER.MEN T.BOY150ML	PROCTER & GAMBLE	8.99	2
58204		#DES.MONANGE AER.ANTIDET.150M	#DES.MONANGE AER.ANTIDET.150M	PROCTER & GAMBLE	11.79	2
57567		#DES.MONANGEAER.PROT.SEC.150M	#DES.MONANGEAER.PROT.SEC.150M	PERFUMARIA HIGIENE BELEZA	11.79	3
59386		+ GLIMEPIRIDA 1MG 30 CPS / GENGLIMEPIRIDA	+ GLIMEPIRIDA 1MG 30 CPS / GENGLIMEPIRIDA	PRATI DONADUZZI	14.99	1
57983		ABERALGINA 500MG/ML 20ML AIR	ABERALGINA 500MG/ML 20ML AIR	AIRELA	5.99	0
50485		ABS INTIMUS GEL SUAVE NORMALC/ A 5X32	ABS INTIMUS GEL SUAVE NORMALC/ A 5X32	KIMBERLY-CLARK	20.99	0
2068		ABS INTIMUS GEL SUAVE NOT C/ABAS C/8	NOTURNO SUAVE C/ ABAS	KIMBERLY-CLARK	9.99	3
57072		ABS INTIMUS NOT SUAVE C AB C 30	30 UNID	PROCTER & GAMBLE	33.59	2
60058		ABS INTIMUS TRIPLA PROT 16UN EXTRA SUAVE ABAS(E)16UNID		MARTINS COMERCIO E SERVI OS	11.49	0
59623		ABS MILI BEAUTY INTERNO MINI	8UNID	DICOPLAST DIST E COM DE PLASTICOS LTDA	11.99	1
59625		ABS MILI BEAUTY INTERNO SUPER	8UNID	DICOPLAST DIST E COM DE PLASTICOS LTDA	11.99	1
59234		ABS MILI DIA/NOITE SUAVE C/ABALMPM	ABS MILI DIA/NOITE SUAVE C/ABALMPM	DICOPLAST DIST E COM DE PLASTICOS LTDA	10.99	1
59840		ABS MILI MULHER CONFORTOTOTAL C/ABAS	ABS MILI MULHER CONFORTOTOTAL C/ABAS	MARTINS COMERCIO E SERVI OS	4.49	2
59841		ABS MILI MULHER CONFORTOTOTAL S/ABAS	ABS MILI MULHER CONFORTOTOTAL S/ABAS	MARTINS COMERCIO E SERVI OS	4.49	5
59462		ABS MILI PROT. TOTAL S. C/ABAS 32UND 1X32UND	ABS MILI PROT. TOTAL S. C/ABAS 32UND 1X32UND	DICOPLAST DIST E COM DE PLASTICOS LTDA	17.99	1
59070		ABS MULTIUSO CONFORT MAXI20UN (CONFO)	ABS MULTIUSO CONFORT MAXI20UN (CONFO)	BIOMED MATERIAL MEDICO HOSPITALAR LTDA	24.99	4
45187		ABS OB 10 UND MEDIO L 10 P 8	MEDIO/REGULAR	JOHNSON & JOHNSON	12.99	1
2095		ABS OB SUPER C/10 UNID	SUPER	JOHNSON & JOHNSON	12.99	0
60011		ABS S LIVRE CONF NOTURNO SCC/AB L32P24UN	ABS S LIVRE CONF NOTURNO SCC/AB L32P24UN	MARTINS COMERCIO E SERVI OS	33.49	4
2107		ABS S LIVRE ESP ADAPT C/ABASC/8	ABS S LIVRE ESP ADAPT C/ABASC/8	JOHNSON & JOHNSON	4.99	0
2108		ABS S LIVRE ESP ADAPT S/ABASC/8	ABS S LIVRE ESP ADAPT S/ABASC/8	JOHNSON & JOHNSON	5.99	3
2112		ABS S LIVRE ESP SV C/ABASLV16PG14	ABS S LIVRE ESP SV C/ABASLV16PG14	JOHNSON & JOHNSON	10.49	10
2115		ABS S LIVRE NOT C/ABAS AG.NATUC/8	ABS S LIVRE NOT C/ABAS AG.NATUC/8	JOHNSON & JOHNSON	11.49	2
2119		ABS S LIVRE SVE ADAPT C/ ABAS L8 P 7	ABS S LIVRE SVE ADAPT C/ ABAS L8 P 7	JOHNSON & JOHNSON	4.99	5
58717		ABS SEMPRE LIVRE 32UN ADAPTSUAVE ABAS(E)	ABS SEMPRE LIVRE 32UN ADAPTSUAVE ABAS(E)	SERONO	17.99	4
58017		ABS.ENLACE GE.M.S.C/AB.8X1 OF	UNID	ELI LILLY	3.99	20
60059		ABS.MILI MULHER NOT.ULT.C/A C8X32 R144432UNID		MARTINS COMERCIO E SERVI OS	29.69	0
59297		ABSORV MILI DIA NOITE SUAVEC/ABAS C/8UN	ABSORV MILI DIA NOITE SUAVEC/ABAS C/8UN	DICOPLAST DIST E COM DE PLASTICOS LTDA	5.99	2
59236		ABSORV PROTETOR DIARIO MILI12X40 6x40 QTD. 1.00 P	ABSORV PROTETOR DIARIO MILI12X40 6x40 QTD. 1.00 P	DICOPLAST DIST E COM DE PLASTICOS LTDA	13.99	3
59624		ABSORVENTE INT MINI MILI BEAUTYC/16 UN (L)	ABSORVENTE INT MINI MILI BEAUTYC/16 UN (L)	DICOPLAST DIST E COM DE PLASTICOS LTDA	19.99	2
59490		ACALENTUS 30CPR MAST MXN	30COMP MASTIGAVEIS	PBMED DISTRIBUIDORA LTDA	33.99	2
59489		ACALENTUS MELATONINA 210MCG90CPS	ACALENTUS MELATONINA 210MCG90CPS	PBMED DISTRIBUIDORA LTDA	37.99	2
2196		ACEBROFILINA 25 MG XPE PED 120ML NEOQ.	ACEBROFILINA 25 MG XPE PED 120ML NEOQ.	NEO QUIMICA	19.99	2
2197		ACEBROFILINA 25 MG XPE PEDGEOLAB	ACEBROFILINA 25 MG XPE PEDGEOLAB	GEOLAB	21.99	3
42192		ACETILCISTEINA 10% SOL INJ 5AMP-UN QUIM	ACETILCISTEINA 10% SOL INJ 5AMP-UN QUIM	UNIAO QUIMICA	24.95	2
2228		ACETILCISTEINA XPE ADT 120 MLGERMED	ACETILCISTEINA XPE ADT 120 MLGERMED	GERMED	35.00	1
55891		ACETONA FARMAX 100 ML	ACETONA FARMAX 100 ML	FARMAX	4.99	6
56829		ACICLOVIR	50 mg/g crm bg x 10g	PHARLAB	12.99	2
60069		ACICLOVIR 200MG C/30 COMP PHARLAB30COMP		PHARLAB	24.00	0
57047		ACICLOVIR 400MG 2BLTX15 COM-GLLEGRAND	ACICLOVIR 400MG 2BLTX15 COM-GLLEGRAND	LEGRAND PHARMA	76.99	1
59399		ACICLOVIR 50MG/G CR 10G (-)VITAMEDIC	ACICLOVIR 50MG/G CR 10G (-)VITAMEDIC	VITAMED	11.99	7
59549		ACIDIO SALICILICO (VERRUGAN) C/20G (PHARM)	ACIDIO SALICILICO (VERRUGAN) C/20G (PHARM)	PHARMASCIENCE	19.99	1
49457		ACIDO TRANEXAMICO 250 MG C/12CPR GE	ACIDO TRANEXAMICO 250 MG C/12CPR GE	EMS	57.59	0
2311		ACNEZIL GEL C/ 20 GR	C/ 20 GR	CIMED	16.79	1
56972		ACNEZIL GEL SECATIVO BG 10 G	10G	CIMED	14.49	1
59256		ACNEZIL PROT FPS30 OIL CONTROLBG 60G	ACNEZIL PROT FPS30 OIL CONTROLBG 60G	CIMED	29.99	2
58513		ACNEZIL SABONETE BARRA PELEACNEICA 70G	ACNEZIL SABONETE BARRA PELEACNEICA 70G	CIMED	9.99	1
57329		ACU FRESH	5mg/ml sol oft fr x 10ml	NEO QUIMICA	22.99	2
58415		ACU FRESH G SOL OFT5MG/ML+9MG/ML 10ML *(1,2)	ACU FRESH G SOL OFT5MG/ML+9MG/ML 10ML *(1,2)	GEOLAB	22.99	2
60050		ADTON (VITAMINA A+D) 20ML (AIREL)20ML		AIRELA	14.99	0
2497		AEROFRIN 100 MCG	100 MG/ 200 DOSES	PHARMASCIENCE	29.99	0
60047		AFT RUB SPRAY ROSA RUBRA 30ML30ML		ARTE NATIVA	15.99	0
52649		AFTLIV SPRAY 100 MG/ML 25 ML	AFTLIV SPRAY 100 MG/ML 25 ML	NATULAB	23.99	1
56831		AGIL C KIDS 30MG - ENV C/ 25 PASTGOMAS (PHARLAB)	AGIL C KIDS 30MG - ENV C/ 25 PASTGOMAS (PHARLAB)	PHARLAB	13.99	0
60067		AGIL C KIDS 30MG 25PAST MORANGO (VITAMINA C) / PHA25UNID		PHARLAB	13.99	0
33012		AGUA BORICADA 100 ML	100 ML	DIVERSOS	3.49	3
59845		AGUA DE COL BABY MURIEL 100MLLAVANDA	AGUA DE COL BABY MURIEL 100MLLAVANDA	MURIEL COSMETICOS	17.99	2
59844		AGUA DE COLONIA BABY MURIELCAMOMILA 100ML	AGUA DE COLONIA BABY MURIELCAMOMILA 100ML	MURIEL COSMETICOS	16.99	2
59493		AGUA DE COLONIA POM POM 100ML(ONTEX)	AGUA DE COLONIA POM POM 100ML(ONTEX)	MARTINS COMERCIO E SERVI OS	12.99	2
56678		AGUA FLOR DE LARANJEIRAS	100ML	LAPON	7.99	2
59976		AGUA MICELAR HIDRADERM 100ML	AGUA MICELAR	FARMAX	12.49	2
56796		AGUA OX FARMAX 90ML 10V 1X1	DOURA PELOS	FARMAX	2.99	10
56889		AGUA OX VOL 10	100ML	FARMAX	3.69	5
56900		AGUA OXIGENADA 10 VOL. SPRAY100ML (FARMA)	AGUA OXIGENADA 10 VOL. SPRAY100ML (FARMA)	FARMAX	7.99	4
59703		AGUA OXIGENADA 100ML	100ML	EXPRESS DISTRIBUIDORA DE MEDICAMENTOS LTDA	3.99	3
2590		AGUA OXIGENADA CR 30 VOL 90 MLFARMAX	AGUA OXIGENADA CR 30 VOL 90 MLFARMAX	FARMAX	3.99	4
2594		AGUA OXIGENADA CR 40 VOL 90 MLFARMAX	AGUA OXIGENADA CR 40 VOL 90 MLFARMAX	FARMAX	3.99	4
59806		AGUA OXIGENADA CREMOSA 40VDESCOLORANTE FARMAX 70M	AGUA OXIGENADA CREMOSA 40VDESCOLORANTE FARMAX 70M	FARMAX	3.99	1
58997		AGUA OXIGENADA CREMOSAFARMAX 70ML 20V	AGUA OXIGENADA CREMOSAFARMAX 70ML 20V	PERFUMARIA HIGIENE BELEZA	3.99	5
56832		AGUA RABELO 150 MLENXAGUATORIO	AGUA RABELO 150 MLENXAGUATORIO	LABORATORIO RABELO LTDA	15.99	2
56833		AGUA RABELO 250 MLENXAGUATORIO	AGUA RABELO 250 MLENXAGUATORIO	LABORATORIO RABELO LTDA	23.99	3
56834		AGUA RABELO 500 MLENXAGUATORIO	AGUA RABELO 500 MLENXAGUATORIO	LABORATORIO RABELO LTDA	34.99	3
56835		AGUA RABELO C/ROMA 150 MLENXAGUATORIO	AGUA RABELO C/ROMA 150 MLENXAGUATORIO	LABORATORIO RABELO LTDA	17.99	1
56836		AGUA RABELO C/ROMA 250 MLENXAGUATORIO	AGUA RABELO C/ROMA 250 MLENXAGUATORIO	LABORATORIO RABELO LTDA	22.99	2
56837		AGUA RABELO C/ROMA 500 MLENXAGUATORIO	AGUA RABELO C/ROMA 500 MLENXAGUATORIO	LABORATORIO RABELO LTDA	34.99	1
56839		AGUA RABELO SPRAY SABORROMA 45 ML UNIDADE	AGUA RABELO SPRAY SABORROMA 45 ML UNIDADE	LABORATORIO RABELO LTDA	15.99	3
56840		AGUA RABELO SPRAY Z/ACUCARMENTA 45 ML UNID	AGUA RABELO SPRAY Z/ACUCARMENTA 45 ML UNID	LABORATORIO RABELO LTDA	16.99	4
58921		ALBENDAZOL 400MG 5CPR MASTGEN *(3,4)	ALBENDAZOL 400MG 5CPR MASTGEN *(3,4)	GEOLAB	16.99	0
59518		ALBENDAZOL 400MG C/1 COMPCIMED	ALBENDAZOL 400MG C/1 COMPCIMED	CIMED	5.99	9
58913		ALCAGEST 300MG 80CRP DURA50DP AIR	ALCAGEST 300MG 80CRP DURA50DP AIR	AIRELA	8.99	7
56921		ALCOOL 70 1 L T.L - (BELLO)	1 LT	BELA VISTA	13.99	141
56560		ALCOOL 70% ANTI-SEPTICO 50 ML	ALCOOL 70% ANTI-SEPTICO 50 ML	DIVERSOS	3.99	7
59405		ALCOOL 70% GEL BOLSO 50G(FARMA)	ALCOOL 70% GEL BOLSO 50G(FARMA)	PBMED DISTRIBUIDORA LTDA	4.99	4
59310		ALEMA LAPON (JALAPA) 100 ML(LAPON)	ALEMA LAPON (JALAPA) 100 ML(LAPON)	PBMED DISTRIBUIDORA LTDA	9.49	2
2771		ALENDRONATO SODICO 70 MG C/ 4CPR LEGRAND	ALENDRONATO SODICO 70 MG C/ 4CPR LEGRAND	LEGRAND PHARMA	11.99	1
